id_muestra,fecha_recepcion,dia_semana_recepcion,es_fin_de_semana,mes_recepcion,temporada_alta_demanda,tipo_muestra,subtipo_muestra,grupo_analitico,num_parametros_solicitados,prioridad_cliente,sector_cliente,sede_laboratorio,carga_laboratorio_dia,num_muestras_lote,analista_experiencia,reanalisis_requerido,plazo_comprometido_horas,tiempo_total_horas,fecha_informe_entregado,estado_entrega
LAB-2024-01453,2024-01-11 07:00,Jueves,0,1,1,Agua,Superficial,Fisicoquimico_Basico,8,Normal,Entidad_Publica,Barranquilla,8,1,Senior,0,96,38.17,2024-01-12 21:10,A tiempo
LAB-2024-00532,2024-01-11 14:00,Jueves,0,1,1,Agua,Potable,Plaguicidas_Cromatografia,9,Express,Entidad_Publica,Medellin,11,1,Semi-Senior,0,48,63.34,2024-01-14 05:20,Retrasado
LAB-2024-00186,2024-01-11 14:00,Jueves,0,1,1,Suelo,Sedimento,Hidrocarburos_HTP,1,Normal,Industrial,Bogota,16,2,Semi-Senior,0,96,82.64,2024-01-15 00:38,A tiempo
LAB-2024-01539,2024-01-11 16:00,Jueves,0,1,1,Agua,Subterránea,Metales_Pesados_ICP,7,Normal,Industrial,Bogota,11,4,Senior,0,96,75.55,2024-01-14 19:33,A tiempo
LAB-2024-00763,2024-01-12 11:00,Viernes,0,1,1,Suelo,Relleno Sanitario,Textura_Fertilidad_Suelo,3,Normal,Industrial,Medellin,13,1,Semi-Senior,0,96,80.49,2024-01-15 19:29,A tiempo
LAB-2024-01951,2024-01-12 12:00,Viernes,0,1,1,Suelo,Sedimento,Microbiologico,1,Normal,Consultoria_Ambiental,Barranquilla,9,1,Semi-Senior,0,96,43.72,2024-01-14 07:43,A tiempo
LAB-2024-01052,2024-01-12 14:00,Viernes,0,1,1,Agua,Subterránea,Microbiologico,2,Urgente,Consultoria_Ambiental,Cali,11,2,Junior,0,72,31.37,2024-01-13 21:22,A tiempo
LAB-2024-00365,2024-01-12 15:00,Viernes,0,1,1,Suelo,Relleno Sanitario,Textura_Fertilidad_Suelo,5,Normal,Industrial,Bogota,10,1,Semi-Senior,0,96,61.15,2024-01-15 04:08,A tiempo
LAB-2024-00217,2024-01-13 07:00,Sabado,1,1,1,Agua,Residual/Vertimiento,Plaguicidas_Cromatografia,4,Normal,Industrial,Medellin,6,1,Junior,1,96,150.49,2024-01-19 13:29,Retrasado
LAB-2024-01820,2024-01-13 09:00,Sabado,1,1,1,Agua,Residual/Vertimiento,Metales_Pesados_ICP,10,Express,Consultoria_Ambiental,Medellin,13,1,Junior,0,48,78.17,2024-01-16 15:10,Retrasado
LAB-2024-01228,2024-01-13 09:00,Sabado,1,1,1,Agua,Superficial,Fisicoquimico_Basico,8,Normal,Consultoria_Ambiental,Bogota,15,2,Senior,0,96,40.32,2024-01-15 01:19,A tiempo
LAB-2024-01907,2024-01-13 12:00,Sabado,1,1,1,Agua,Potable,Metales_Pesados_ICP,7,Normal,Agricola,Bogota,12,5,Semi-Senior,0,96,89.41,2024-01-17 05:24,A tiempo
LAB-2024-00907,2024-01-14 12:00,Domingo,1,1,1,Suelo,Relleno Sanitario,Hidrocarburos_HTP,3,Normal,Industrial,Bogota,6,1,Senior,0,96,85.88,2024-01-18 01:53,A tiempo
LAB-2024-00342,2024-01-15 13:00,Lunes,0,1,1,Agua,Superficial,DBO5_DQO,2,Normal,Consultoria_Ambiental,Bogota,13,1,Junior,0,144,159.74,2024-01-22 04:44,Retrasado
LAB-2024-00190,2024-01-16 09:00,Martes,0,1,1,Agua,Residual/Vertimiento,Fisicoquimico_Basico,7,Urgente,Agricola,Bogota,9,1,Junior,0,72,30.62,2024-01-17 15:36,A tiempo
LAB-2024-00482,2024-01-16 12:00,Martes,0,1,1,Agua,Residual/Vertimiento,DBO5_DQO,1,Urgente,Entidad_Publica,Bogota,7,1,Junior,0,144,126.51,2024-01-21 18:30,A tiempo
LAB-2024-00260,2024-01-16 13:00,Martes,0,1,1,Agua,Potable,Fisicoquimico_Basico,8,Urgente,Agricola,Bogota,12,1,Senior,1,72,46.54,2024-01-18 11:32,A tiempo
LAB-2024-01737,2024-01-17 08:00,Miercoles,0,1,1,Suelo,Contaminado/Industrial,Hidrocarburos_HTP,2,Normal,Consultoria_Ambiental,Cali,10,1,Semi-Senior,0,96,105.49,2024-01-21 17:29,Retrasado
LAB-2024-01988,2024-01-17 12:00,Miercoles,0,1,1,Suelo,Sedimento,Textura_Fertilidad_Suelo,8,Normal,Minero_Energetico,Bogota,12,2,Senior,0,96,64.51,2024-01-20 04:30,A tiempo
LAB-2024-00866,2024-01-17 14:00,Miercoles,0,1,1,Agua,Superficial,Fisicoquimico_Basico,8,Normal,Minero_Energetico,Barranquilla,9,3,Senior,1,96,48.69,2024-01-19 14:41,A tiempo
LAB-2024-00812,2024-01-18 09:00,Jueves,0,1,1,Agua,Potable,Metales_Pesados_ICP,4,Normal,Industrial,Medellin,8,1,Senior,0,96,63.8,2024-01-21 00:47,A tiempo
LAB-2024-00876,2024-01-18 11:00,Jueves,0,1,1,Agua,Superficial,DBO5_DQO,2,Express,Industrial,Cali,12,1,Semi-Senior,0,144,126.16,2024-01-23 17:09,A tiempo
LAB-2024-02073,2024-01-18 12:00,Jueves,0,1,1,Suelo,Contaminado/Industrial,Metales_Pesados_ICP,9,Normal,Minero_Energetico,Cali,15,3,Junior,0,96,96.92,2024-01-22 12:55,Retrasado
LAB-2024-01693,2024-01-18 12:00,Jueves,0,1,1,Agua,Subterránea,Plaguicidas_Cromatografia,8,Urgente,Consultoria_Ambiental,Medellin,13,1,Semi-Senior,0,72,87.24,2024-01-22 03:14,Retrasado
LAB-2024-00325,2024-01-19 12:00,Viernes,0,1,1,Agua,Residual/Vertimiento,Metales_Pesados_ICP,4,Express,Agricola,Medellin,14,1,Senior,0,48,43.74,2024-01-21 07:44,A tiempo
LAB-2024-02129,2024-01-19 14:00,Viernes,0,1,1,Agua,Subterránea,Metales_Pesados_ICP,12,Urgente,Entidad_Publica,Medellin,6,1,Junior,0,72,76.51,2024-01-22 18:30,Retrasado
LAB-2024-02182,2024-01-19 14:00,Viernes,0,1,1,Suelo,Relleno Sanitario,Metales_Pesados_ICP,4,Express,Agricola,Medellin,9,2,Junior,0,48,46.09,2024-01-21 12:05,A tiempo
LAB-2024-01012,2024-01-19 16:00,Viernes,0,1,1,Agua,Superficial,Plaguicidas_Cromatografia,3,Normal,Agricola,Medellin,16,3,Senior,0,96,97.58,2024-01-23 17:35,Retrasado
LAB-2024-01262,2024-01-21 15:00,Domingo,1,1,1,Suelo,Relleno Sanitario,Microbiologico,1,Urgente,Consultoria_Ambiental,Medellin,14,5,Semi-Senior,1,72,64.93,2024-01-24 07:55,A tiempo
LAB-2024-02150,2024-01-22 08:00,Lunes,0,1,1,Suelo,Relleno Sanitario,Microbiologico,4,Normal,Industrial,Cali,8,1,Semi-Senior,0,96,39.61,2024-01-23 23:36,A tiempo
LAB-2024-00990,2024-01-22 10:00,Lunes,0,1,1,Agua,Superficial,DBO5_DQO,2,Express,Agricola,Bogota,17,4,Junior,1,144,140.2,2024-01-28 06:12,A tiempo
LAB-2024-01173,2024-01-22 11:00,Lunes,0,1,1,Suelo,Sedimento,Microbiologico,3,Urgente,Minero_Energetico,Bogota,11,1,Semi-Senior,0,72,28.07,2024-01-23 15:04,A tiempo
LAB-2024-01169,2024-01-22 13:00,Lunes,0,1,1,Agua,Potable,Microbiologico,2,Normal,Entidad_Publica,Cali,6,1,Junior,1,96,78.43,2024-01-25 19:25,A tiempo
LAB-2024-00205,2024-01-22 15:00,Lunes,0,1,1,Suelo,Relleno Sanitario,Microbiologico,1,Normal,Agricola,Bogota,8,1,Senior,0,96,35.46,2024-01-24 02:27,A tiempo
LAB-2024-02125,2024-01-22 16:00,Lunes,0,1,1,Agua,Subterránea,Microbiologico,4,Normal,Entidad_Publica,Medellin,9,1,Semi-Senior,0,96,46.58,2024-01-24 14:34,A tiempo
LAB-2024-01306,2024-01-23 09:00,Martes,0,1,1,Agua,Potable,Plaguicidas_Cromatografia,5,Normal,Entidad_Publica,Bogota,6,1,Semi-Senior,0,96,89.22,2024-01-27 02:13,A tiempo
LAB-2024-01509,2024-01-23 10:00,Martes,0,1,1,Agua,Residual/Vertimiento,Fisicoquimico_Basico,3,Normal,Minero_Energetico,Bogota,16,8,Semi-Senior,0,96,36.56,2024-01-24 22:33,A tiempo
LAB-2024-00314,2024-01-24 09:00,Miercoles,0,1,1,Agua,Superficial,Microbiologico,3,Normal,Minero_Energetico,Medellin,11,1,Semi-Senior,0,96,43.11,2024-01-26 04:06,A tiempo
LAB-2024-01713,2024-01-24 11:00,Miercoles,0,1,1,Suelo,Agrícola,Hidrocarburos_HTP,1,Normal,Industrial,Cali,16,2,Semi-Senior,0,96,95.6,2024-01-28 10:36,A tiempo
LAB-2024-01207,2024-01-25 08:00,Jueves,0,1,1,Agua,Potable,DBO5_DQO,1,Normal,Agricola,Barranquilla,14,5,Semi-Senior,0,144,168.82,2024-02-01 08:49,Retrasado
LAB-2024-00255,2024-01-25 09:00,Jueves,0,1,1,Agua,Superficial,Fisicoquimico_Basico,6,Normal,Minero_Energetico,Barranquilla,24,5,Semi-Senior,0,96,43.98,2024-01-27 04:58,A tiempo
LAB-2024-00422,2024-01-25 11:00,Jueves,0,1,1,Suelo,Sedimento,Textura_Fertilidad_Suelo,9,Normal,Consultoria_Ambiental,Barranquilla,15,1,Semi-Senior,0,96,92.94,2024-01-29 07:56,A tiempo
LAB-2024-00964,2024-01-25 11:00,Jueves,0,1,1,Suelo,Sedimento,Metales_Pesados_ICP,10,Express,Consultoria_Ambiental,Medellin,8,1,Junior,0,48,54.72,2024-01-27 17:43,Retrasado
LAB-2024-00534,2024-01-26 09:00,Viernes,0,1,1,Agua,Superficial,Metales_Pesados_ICP,8,Urgente,Minero_Energetico,Medellin,6,1,Junior,0,72,66.8,2024-01-29 03:47,A tiempo
LAB-2024-00704,2024-01-26 09:00,Viernes,0,1,1,Agua,Potable,Metales_Pesados_ICP,3,Normal,Entidad_Publica,Cali,7,3,Senior,1,96,93.15,2024-01-30 06:08,A tiempo
LAB-2024-00952,2024-01-26 13:00,Viernes,0,1,1,Agua,Residual/Vertimiento,DBO5_DQO,2,Normal,Agricola,Bogota,19,2,Senior,0,144,139.91,2024-02-01 08:54,A tiempo
LAB-2024-01610,2024-01-26 14:00,Viernes,0,1,1,Agua,Residual/Vertimiento,Metales_Pesados_ICP,4,Normal,Industrial,Bogota,16,4,Junior,0,96,82.34,2024-01-30 00:20,A tiempo
LAB-2024-00647,2024-01-26 14:00,Viernes,0,1,1,Agua,Residual/Vertimiento,Plaguicidas_Cromatografia,6,Normal,Entidad_Publica,Bogota,12,1,Junior,1,96,164.87,2024-02-02 10:51,Retrasado
LAB-2024-00839,2024-01-26 15:00,Viernes,0,1,1,Agua,Subterránea,Plaguicidas_Cromatografia,6,Normal,Minero_Energetico,Bogota,3,3,Junior,0,96,135.05,2024-02-01 06:03,Retrasado
LAB-2024-01410,2024-01-26 16:00,Viernes,0,1,1,Agua,Subterránea,Microbiologico,3,Normal,Industrial,Bogota,15,1,Senior,0,96,36.14,2024-01-28 04:08,A tiempo
LAB-2024-00636,2024-01-26 16:00,Viernes,0,1,1,Agua,Residual/Vertimiento,Plaguicidas_Cromatografia,4,Normal,Minero_Energetico,Medellin,12,2,Senior,0,96,98.53,2024-01-30 18:31,Retrasado
LAB-2024-00162,2024-01-27 07:00,Sabado,1,1,1,Agua,Potable,Plaguicidas_Cromatografia,6,Express,Industrial,Cali,9,1,Senior,0,48,65.21,2024-01-30 00:12,Retrasado
LAB-2024-00711,2024-01-27 08:00,Sabado,1,1,1,Suelo,Contaminado/Industrial,Hidrocarburos_HTP,1,Normal,Consultoria_Ambiental,Bogota,4,8,Senior,0,96,96.81,2024-01-31 08:48,Retrasado
LAB-2024-00401,2024-01-27 11:00,Sabado,1,1,1,Suelo,Sedimento,Metales_Pesados_ICP,4,Normal,Agricola,Barranquilla,17,1,Semi-Senior,0,96,89.83,2024-01-31 04:49,A tiempo
LAB-2024-02097,2024-01-27 14:00,Sabado,1,1,1,Suelo,Sedimento,Textura_Fertilidad_Suelo,5,Normal,Consultoria_Ambiental,Bogota,8,4,Semi-Senior,0,96,93.5,2024-01-31 11:30,A tiempo
LAB-2024-00979,2024-01-28 13:00,Domingo,1,1,1,Agua,Subterránea,DBO5_DQO,1,Urgente,Minero_Energetico,Medellin,17,1,Junior,0,144,162.15,2024-02-04 07:08,Retrasado
LAB-2024-02087,2024-01-28 14:00,Domingo,1,1,1,Agua,Residual/Vertimiento,DBO5_DQO,2,Normal,Industrial,Bogota,12,1,Semi-Senior,0,144,165.57,2024-02-04 11:34,Retrasado
LAB-2024-01388,2024-01-29 07:00,Lunes,0,1,1,Suelo,Contaminado/Industrial,Textura_Fertilidad_Suelo,3,Normal,Minero_Energetico,Cali,11,5,Semi-Senior,0,96,76.94,2024-02-01 11:56,A tiempo
LAB-2024-01884,2024-01-29 08:00,Lunes,0,1,1,Agua,Residual/Vertimiento,Microbiologico,4,Normal,Consultoria_Ambiental,Medellin,18,3,Semi-Senior,0,96,57.76,2024-01-31 17:45,A tiempo
LAB-2024-00279,2024-01-29 11:00,Lunes,0,1,1,Suelo,Relleno Sanitario,Metales_Pesados_ICP,5,Normal,Agricola,Bogota,12,1,Semi-Senior,0,96,80.12,2024-02-01 19:07,A tiempo
LAB-2024-00503,2024-01-29 15:00,Lunes,0,1,1,Agua,Potable,Metales_Pesados_ICP,8,Urgente,Entidad_Publica,Medellin,7,1,Senior,0,72,58.51,2024-02-01 01:30,A tiempo
LAB-2024-01727,2024-01-29 16:00,Lunes,0,1,1,Suelo,Sedimento,Textura_Fertilidad_Suelo,5,Normal,Agricola,Bogota,15,1,Semi-Senior,1,96,89.08,2024-02-02 09:04,A tiempo
LAB-2024-00676,2024-01-30 11:00,Martes,0,1,1,Agua,Potable,Plaguicidas_Cromatografia,10,Normal,Industrial,Bogota,13,4,Semi-Senior,0,96,116.38,2024-02-04 07:23,Retrasado
LAB-2024-01179,2024-01-30 11:00,Martes,0,1,1,Suelo,Relleno Sanitario,Hidrocarburos_HTP,3,Normal,Agricola,Cali,7,4,Junior,0,96,98.03,2024-02-03 13:02,Retrasado
LAB-2024-00311,2024-01-30 12:00,Martes,0,1,1,Suelo,Sedimento,Microbiologico,2,Express,Agricola,Bogota,14,3,Senior,0,48,30.77,2024-01-31 18:45,A tiempo
LAB-2024-00418,2024-01-30 12:00,Martes,0,1,1,Agua,Potable,Plaguicidas_Cromatografia,7,Normal,Consultoria_Ambiental,Medellin,15,8,Semi-Senior,0,96,143.36,2024-02-05 11:21,Retrasado
LAB-2024-02015,2024-01-30 13:00,Martes,0,1,1,Suelo,Relleno Sanitario,Microbiologico,2,Normal,Industrial,Medellin,10,1,Junior,0,96,55.07,2024-02-01 20:04,A tiempo
LAB-2024-00382,2024-01-31 10:00,Miercoles,0,1,1,Agua,Residual/Vertimiento,Fisicoquimico_Basico,4,Normal,Minero_Energetico,Medellin,13,1,Junior,0,96,29.85,2024-02-01 15:50,A tiempo
LAB-2024-01627,2024-01-31 11:00,Miercoles,0,1,1,Agua,Residual/Vertimiento,DBO5_DQO,2,Normal,Agricola,Bogota,3,1,Semi-Senior,1,144,151.98,2024-02-06 18:58,Retrasado
LAB-2024-01470,2024-02-01 09:00,Jueves,0,2,1,Agua,Potable,DBO5_DQO,1,Normal,Entidad_Publica,Bogota,10,1,Junior,0,144,148.98,2024-02-07 13:59,Retrasado
LAB-2024-01325,2024-02-01 09:00,Jueves,0,2,1,Suelo,Agrícola,Textura_Fertilidad_Suelo,6,Normal,Entidad_Publica,Bogota,16,1,Junior,0,96,87.18,2024-02-05 00:10,A tiempo
LAB-2024-00597,2024-02-01 09:00,Jueves,0,2,1,Agua,Residual/Vertimiento,DBO5_DQO,1,Normal,Agricola,Bogota,7,1,Semi-Senior,0,144,135.55,2024-02-07 00:33,A tiempo
LAB-2024-01588,2024-02-01 16:00,Jueves,0,2,1,Agua,Subterránea,Microbiologico,3,Normal,Entidad_Publica,Medellin,14,1,Semi-Senior,0,96,39.12,2024-02-03 07:06,A tiempo
LAB-2024-00430,2024-02-02 07:00,Viernes,0,2,1,Agua,Superficial,Plaguicidas_Cromatografia,8,Normal,Minero_Energetico,Cali,7,3,Semi-Senior,0,96,124.51,2024-02-07 11:30,Retrasado
LAB-2024-00809,2024-02-02 13:00,Viernes,0,2,1,Suelo,Sedimento,Textura_Fertilidad_Suelo,9,Normal,Entidad_Publica,Cali,13,1,Semi-Senior,1,96,106.1,2024-02-06 23:06,Retrasado
LAB-2024-01243,2024-02-03 12:00,Sabado,1,2,1,Agua,Subterránea,Metales_Pesados_ICP,6,Normal,Minero_Energetico,Bogota,11,1,Semi-Senior,0,96,82.28,2024-02-06 22:16,A tiempo
LAB-2024-00522,2024-02-03 14:00,Sabado,1,2,1,Agua,Residual/Vertimiento,DBO5_DQO,2,Normal,Consultoria_Ambiental,Medellin,10,2,Junior,0,144,197.05,2024-02-11 19:03,Retrasado
LAB-2024-00906,2024-02-03 14:00,Sabado,1,2,1,Agua,Subterránea,Plaguicidas_Cromatografia,10,Normal,Agricola,Bogota,5,3,Semi-Senior,0,96,132.94,2024-02-09 02:56,Retrasado
LAB-2024-01661,2024-02-03 15:00,Sabado,1,2,1,Suelo,Relleno Sanitario,Microbiologico,2,Normal,Consultoria_Ambiental,Cali,6,1,Junior,0,96,65.29,2024-02-06 08:17,A tiempo
LAB-2024-01381,2024-02-04 08:00,Domingo,1,2,1,Agua,Residual/Vertimiento,Plaguicidas_Cromatografia,7,Urgente,Consultoria_Ambiental,Medellin,11,1,Semi-Senior,0,72,132.32,2024-02-09 20:19,Retrasado
LAB-2024-00831,2024-02-04 11:00,Domingo,1,2,1,Suelo,Agrícola,Textura_Fertilidad_Suelo,3,Express,Agricola,Bogota,10,1,Junior,0,48,50.24,2024-02-06 13:14,Retrasado
LAB-2024-02093,2024-02-05 10:00,Lunes,0,2,1,Agua,Residual/Vertimiento,Microbiologico,4,Urgente,Agricola,Barranquilla,15,2,Semi-Senior,0,72,50.49,2024-02-07 12:29,A tiempo
LAB-2024-01201,2024-02-05 12:00,Lunes,0,2,1,Suelo,Sedimento,Metales_Pesados_ICP,7,Urgente,Consultoria_Ambiental,Bogota,12,1,Semi-Senior,0,72,72.21,2024-02-08 12:12,Retrasado
LAB-2024-00548,2024-02-06 07:00,Martes,0,2,1,Agua,Residual/Vertimiento,DBO5_DQO,2,Urgente,Entidad_Publica,Cali,11,1,Senior,0,144,125.98,2024-02-11 12:58,A tiempo
LAB-2024-00459,2024-02-07 08:00,Miercoles,0,2,1,Agua,Potable,Microbiologico,4,Urgente,Agricola,Bogota,24,2,Senior,0,72,32.84,2024-02-08 16:50,A tiempo
LAB-2024-00197,2024-02-07 10:00,Miercoles,0,2,1,Agua,Potable,Fisicoquimico_Basico,5,Normal,Entidad_Publica,Medellin,11,3,Semi-Senior,0,96,33.6,2024-02-08 19:35,A tiempo
LAB-2024-02025,2024-02-07 10:00,Miercoles,0,2,1,Suelo,Sedimento,Metales_Pesados_ICP,5,Normal,Agricola,Medellin,13,1,Junior,0,96,76.79,2024-02-10 14:47,A tiempo
LAB-2024-01870,2024-02-08 08:00,Jueves,0,2,1,Suelo,Sedimento,Metales_Pesados_ICP,6,Normal,Industrial,Cali,16,1,Semi-Senior,0,96,86.67,2024-02-11 22:40,A tiempo
LAB-2024-01979,2024-02-08 10:00,Jueves,0,2,1,Agua,Potable,Microbiologico,4,Urgente,Industrial,Bogota,12,1,Semi-Senior,0,72,39.31,2024-02-10 01:18,A tiempo
LAB-2024-00941,2024-02-08 11:00,Jueves,0,2,1,Suelo,Sedimento,Textura_Fertilidad_Suelo,9,Normal,Industrial,Bogota,11,5,Junior,0,96,100.09,2024-02-12 15:05,Retrasado
LAB-2024-01011,2024-02-08 11:00,Jueves,0,2,1,Suelo,Sedimento,Textura_Fertilidad_Suelo,9,Normal,Industrial,Medellin,10,3,Senior,0,96,65.95,2024-02-11 04:57,A tiempo
LAB-2024-00300,2024-02-08 12:00,Jueves,0,2,1,Agua,Superficial,Metales_Pesados_ICP,12,Normal,Entidad_Publica,Medellin,6,1,Junior,0,96,101.88,2024-02-12 17:52,Retrasado
LAB-2024-01832,2024-02-08 14:00,Jueves,0,2,1,Agua,Residual/Vertimiento,Metales_Pesados_ICP,8,Normal,Agricola,Cali,8,1,Junior,1,96,105.0,2024-02-12 23:00,Retrasado
LAB-2024-00641,2024-02-08 15:00,Jueves,0,2,1,Suelo,Agrícola,Metales_Pesados_ICP,10,Normal,Minero_Energetico,Bogota,14,2,Semi-Senior,1,96,111.33,2024-02-13 06:19,Retrasado
LAB-2024-00510,2024-02-09 12:00,Viernes,0,2,1,Agua,Potable,Microbiologico,1,Normal,Consultoria_Ambiental,Barranquilla,11,1,Semi-Senior,0,96,30.67,2024-02-10 18:40,A tiempo
LAB-2024-00234,2024-02-09 16:00,Viernes,0,2,1,Agua,Superficial,Microbiologico,1,Express,Industrial,Bogota,13,2,Semi-Senior,0,48,23.78,2024-02-10 15:46,A tiempo
LAB-2024-00048,2024-02-10 10:00,Sabado,1,2,1,Agua,Superficial,Plaguicidas_Cromatografia,4,Urgente,Minero_Energetico,Bogota,14,1,Semi-Senior,0,72,85.62,2024-02-13 23:37,Retrasado
LAB-2024-00369,2024-02-11 09:00,Domingo,1,2,1,Agua,Residual/Vertimiento,Metales_Pesados_ICP,8,Normal,Agricola,Medellin,11,4,Senior,0,96,97.53,2024-02-15 10:31,Retrasado
LAB-2024-02117,2024-02-11 11:00,Domingo,1,2,1,Suelo,Sedimento,Hidrocarburos_HTP,2,Normal,Industrial,Barranquilla,18,1,Junior,0,96,128.53,2024-02-16 19:31,Retrasado
